time_h,nh3_feed_kg_h,temperature_c,pressure_bar,nh3_outlet_ppmv,fired_kw,h2_product_kg_h
318.0,10.0383,600.257,4.992,2609.652,11.9172,1.69734
320.0,10.0337,597.39,4.996,2579.309,11.5864,1.67993
322.0,9.9959,599.784,4.985,2599.995,12.1104,1.64956
324.0,9.9785,594.262,4.985,2670.988,11.6284,1.67011
326.0,9.9191,598.586,4.991,2663.916,11.7727,1.67772
328.0,9.965,601.594,4.931,2468.813,11.4456,1.68484
330.0,10.0509,601.33,5.0,2627.15,11.9987,1.65297
332.0,9.9043,600.968,4.974,2625.262,11.8159,1.64234
334.0,10.0046,599.943,4.955,2682.95,11.6264,1.65786
336.0,9.9378,603.263,5.072,2634.27,11.7485,1.69101
338.0,10.0024,598.193,4.961,2574.53,11.3616,1.66173
340.0,10.0333,601.479,5.013,2591.232,11.6124,1.65497
342.0,9.9924,599.342,4.935,2536.726,11.9358,1.67074
344.0,9.9434,603.624,5.115,2721.181,11.7993,1.65247
346.0,9.9173,601.619,4.974,2581.772,11.322,1.63736
348.0,10.0236,598.825,4.979,2706.64,11.6429,1.6446
350.0,10.0057,600.763,4.998,2598.171,11.9735,1.69465
352.0,10.079,603.289,5.113,2573.391,12.035,1.68202
354.0,9.9352,603.494,4.976,2595.301,12.2362,1.68757
356.0,9.9988,598.92,5.035,2415.399,11.9324,1.6953
358.0,10.0303,601.0,4.994,2771.703,12.0553,1.67746
360.0,10.0856,596.686,4.988,2631.868,11.7693,1.65718
362.0,10.0173,597.601,4.902,2618.836,12.0438,1.6865
364.0,10.0465,600.675,5.001,2745.252,12.333,1.65514
366.0,9.9763,598.759,5.048,2548.956,11.8079,1.65602
368.0,10.0115,599.475,4.927,2614.34,11.7661,1.62764
370.0,9.9698,597.898,5.045,2695.868,11.8314,1.67194
372.0,10.0709,603.234,5.057,2498.872,11.9178,1.69931
374.0,9.9599,602.299,4.952,2673.742,11.7634,1.66278
376.0,10.0364,597.228,4.987,2626.948,11.902,1.68527
378.0,10.056,599.565,5.015,2776.971,11.8955,1.68307
380.0,9.9672,600.122,4.885,2495.601,11.5058,1.66803
382.0,9.9774,598.794,4.964,2552.92,11.8546,1.68078
384.0,9.9803,599.582,5.014,2568.896,11.7411,1.66544
386.0,10.0569,602.765,5.027,2549.009,11.8925,1.70996
388.0,9.994,600.2,4.874,2561.158,11.9067,1.69663
390.0,10.091,600.839,4.915,2800.207,11.3713,1.71299
392.0,9.9389,599.426,5.062,2487.351,11.8714,1.65026
394.0,10.016,599.887,4.94,2580.304,11.9282,1.66722
396.0,10.0163,597.234,5.022,2594.963,11.9575,1.66686
398.0,9.984,595.647,5.075,2565.121,11.3685,1.67544
400.0,9.9822,599.675,4.986,2631.874,12.3189,1.69753
402.0,10.112,602.143,5.01,2590.524,11.4322,1.66859
404.0,9.9473,601.405,4.98,2725.871,11.6671,1.67521
406.0,10.0772,598.327,5.143,2676.094,11.4041,1.64676
408.0,10.0239,599.654,4.984,2744.477,11.5604,1.6668
410.0,10.0377,599.355,4.933,2557.4,11.5747,1.70129
412.0,9.9789,602.156,4.922,2751.872,11.5229,1.67886
414.0,10.0022,603.478,5.042,2661.71,11.9098,1.7037
416.0,10.0399,598.557,5.115,2792.232,11.5951,1.66162
418.0,10.0541,599.89,4.943,2772.253,11.8731,1.67462
420.0,10.0648,598.111,5.029,2676.952,11.9922,1.68747
422.0,9.9807,599.115,4.965,2677.525,11.3651,1.68314
424.0,10.0685,601.641,5.037,2676.81,11.8359,1.66204
426.0,10.0211,602.897,5.054,2771.072,11.9663,1.66637
428.0,10.0259,600.043,5.033,2600.758,11.6132,1.65306
430.0,10.0542,600.968,4.989,2675.595,12.1175,1.68816
432.0,10.0717,599.563,5.007,2593.16,12.0302,1.67153
434.0,10.0522,599.161,5.097,2637.423,11.8661,1.64789
436.0,9.9789,603.401,4.994,2724.042,11.8085,1.68576
438.0,9.997,598.819,4.994,2633.271,12.1577,1.68666
440.0,9.9654,599.093,4.964,2447.567,11.8438,1.67775
442.0,10.0091,600.615,5.035,2582.667,11.8591,1.66782
444.0,9.9881,600.98,5.015,2711.005,12.2187,1.67316
446.0,10.0256,602.385,5.044,2743.545,12.4251,1.70381
448.0,9.9015,599.823,5.057,2595.683,12.1412,1.6703
450.0,9.9834,602.724,4.947,2652.321,12.0254,1.67602
452.0,10.0202,599.021,4.979,2582.125,11.7514,1.67309
454.0,9.9725,597.798,5.03,2591.155,12.0497,1.65261
456.0,10.034,600.922,5.031,2563.701,12.2621,1.67397
458.0,10.0093,601.838,5.08,2572.772,11.8445,1.66966
460.0,9.9108,598.482,5.043,2677.447,11.5571,1.65904
462.0,10.0645,599.917,4.994,2509.064,11.9891,1.65566
464.0,10.0431,600.753,5.003,2777.532,11.6,1.67719
466.0,10.0198,600.11,4.966,2782.096,11.7298,1.68515
468.0,9.9344,600.542,4.987,2708.853,12.1072,1.6839
470.0,9.9979,599.833,5.119,2648.587,12.5057,1.6896
472.0,9.9943,599.917,5.057,2669.478,11.8469,1.65881
474.0,9.9615,598.207,4.984,2599.947,11.9448,1.69116
476.0,10.0038,600.974,5.043,2703.434,11.8117,1.67967
478.0,10.006,598.543,4.983,2612.679,12.1768,1.68088
480.0,10.0646,602.77,5.07,2661.52,12.3022,1.67872
482.0,10.0143,597.47,5.087,2511.332,11.6512,1.63376
484.0,9.9607,601.645,4.974,2628.564,11.5995,1.68792
486.0,10.0722,601.366,5.004,2630.742,11.8787,1.65175
488.0,10.0167,599.049,5.124,2593.532,12.0503,1.66742
490.0,10.0569,600.44,5.082,2716.58,11.9962,1.68682
492.0,9.9295,599.825,4.906,2646.744,11.413,1.67617
494.0,10.0112,598.31,4.918,2661.088,11.9241,1.67587
496.0,10.0485,601.985,4.959,2673.105,12.0183,1.68297
498.0,10.0759,599.45,5.008,2615.193,12.1083,1.69543
500.0,10.0625,599.793,4.977,2596.496,11.7022,1.67938
502.0,9.9871,598.707,4.958,2744.104,11.8467,1.67953
504.0,9.9365,596.558,5.025,2639.153,11.5518,1.70475
506.0,10.0305,599.327,4.978,2663.828,12.0597,1.63812
508.0,10.0365,601.663,4.998,2718.774,12.0155,1.69591
510.0,9.9609,602.328,4.982,2795.249,11.5684,1.66043
512.0,10.0473,599.03,4.908,2734.326,11.9769,1.69188
514.0,10.0336,597.949,4.98,2733.506,12.219,1.68099
516.0,10.0333,598.087,4.967,2686.209,11.8199,1.69702
518.0,9.9226,600.812,5.012,2530.747,11.4954,1.65422
520.0,9.9738,598.531,4.938,2602.994,11.9063,1.67114
522.0,9.9988,596.728,4.978,2711.8,11.9924,1.6436
524.0,10.0631,603.193,5.013,2689.25,11.9416,1.65821
526.0,9.9908,601.502,5.063,2593.935,12.2998,1.66888
528.0,9.9987,595.013,5.046,2655.805,12.3364,1.6833
530.0,9.9651,601.817,5.0,2517.229,11.9399,1.66414
532.0,9.9877,599.692,4.998,2712.338,11.7842,1.67339
534.0,10.0332,600.501,4.969,2730.549,11.3248,1.67366
536.0,10.0168,600.931,4.958,2642.955,11.667,1.68392
538.0,9.9979,598.204,5.072,2590.687,11.7666,1.66093
540.0,10.1,602.21,4.989,2658.307,12.2831,1.69771
542.0,10.0055,597.361,5.029,2651.037,11.9396,1.67381
544.0,9.9958,598.891,5.063,2612.456,12.2043,1.7028
546.0,10.0536,600.902,5.081,2633.851,12.4018,1.6743
548.0,10.0741,600.494,5.023,2660.879,12.3046,1.6961
550.0,10.001,598.544,5.052,2561.105,11.9151,1.67275
552.0,9.9555,599.033,5.03,2624.862,11.5035,1.6909
554.0,9.9083,602.187,4.921,2730.511,11.7278,1.66416
556.0,10.0009,600.686,5.148,2604.589,11.6214,1.68451
558.0,10.0409,599.951,4.975,2614.952,11.9754,1.69603
560.0,10.035,597.852,4.978,2694.539,11.8542,1.69737
562.0,9.9268,597.526,4.962,2690.854,11.82,1.68439
564.0,10.1043,599.418,4.963,2768.644,11.9204,1.68318
566.0,10.0224,598.706,4.994,2631.457,11.5096,1.68096
568.0,9.8864,599.032,4.976,2620.464,12.0481,1.68807
570.0,10.0635,599.06,4.945,2613.807,12.0503,1.7141
572.0,10.0923,596.873,4.982,2666.845,11.4676,1.68661
574.0,9.9711,601.625,5.013,2633.621,11.984,1.67218
576.0,10.0236,601.19,4.999,2608.298,11.7654,1.71707
578.0,10.0061,600.25,4.959,2694.972,11.6067,1.71214
580.0,9.9855,599.099,4.977,2588.837,11.5154,1.68332
582.0,10.0655,603.055,4.941,2560.412,11.7672,1.69164
584.0,10.048,601.739,5.079,2538.578,11.6932,1.68969
586.0,9.9479,600.413,5.025,2461.642,11.7587,1.67686
588.0,9.9784,598.131,5.049,2661.441,12.016,1.68107
590.0,9.9967,599.775,5.007,2613.767,12.2148,1.66158
592.0,9.9714,600.106,5.027,2528.536,11.9798,1.6935
594.0,9.9115,600.113,5.013,2791.724,11.9773,1.69158
596.0,9.9754,602.588,5.059,2706.956,12.2675,1.66976
598.0,9.9772,601.662,4.95,2742.937,11.9085,1.71011
600.0,9.9668,602.849,5.047,2767.302,11.604,1.6901
602.0,10.0731,599.04,5.09,2752.838,11.8924,1.70014
604.0,10.0082,600.247,4.876,2634.006,11.9878,1.71746
606.0,9.993,599.446,4.972,2723.373,11.5995,1.67745
608.0,10.0115,598.498,5.023,2581.299,11.959,1.64811
610.0,9.9419,598.102,5.01,2637.5,11.7308,1.66571
612.0,9.9228,600.713,4.985,2487.11,11.9417,1.68169
614.0,10.0235,600.395,4.97,2444.643,11.883,1.66278
616.0,10.0527,595.024,4.945,2700.054,11.8177,1.64183
618.0,10.0238,597.849,5.04,2724.394,11.7087,1.67286
620.0,10.0278,599.88,4.894,2653.118,12.0488,1.64799
622.0,9.9832,597.441,5.008,2634.961,11.6841,1.653
624.0,10.0627,599.684,4.916,2649.127,11.7504,1.7226
626.0,10.0296,601.007,5.019,2618.428,11.9816,1.6933
628.0,10.0447,602.264,5.033,2625.519,12.1038,1.69561
630.0,9.9754,597.643,5.015,2734.743,11.4752,1.66933
632.0,10.0159,601.897,5.044,2936.398,12.0443,1.67926
634.0,10.0018,599.351,4.974,2715.412,11.9483,1.66357
636.0,9.9345,598.099,4.986,2629.805,11.6459,1.66297
638.0,9.9969,597.487,4.962,2744.718,11.3697,1.6647
640.0,9.9862,602.696,4.966,2578.355,11.9621,1.7194
642.0,9.9794,600.432,4.987,2802.708,11.5601,1.67888
644.0,10.0391,601.525,5.002,2617.223,11.917,1.69796
646.0,10.0029,603.272,4.916,2627.736,12.0931,1.68893
648.0,9.984,599.104,4.931,2612.202,11.8999,1.68933
650.0,9.8638,599.936,4.944,2678.027,11.9281,1.68157
652.0,10.1438,600.2,5.046,2719.343,11.9135,1.65916
654.0,10.0276,600.778,4.934,2682.867,11.7157,1.67542
656.0,9.9776,604.086,4.991,2670.672,11.9951,1.65472
658.0,9.987,601.08,5.066,2502.643,11.6721,1.6622
660.0,9.9987,599.358,5.025,2693.078,11.8907,1.71068
662.0,9.9539,602.764,4.952,2560.779,11.4615,1.72072
664.0,9.9919,596.801,5.066,2694.846,11.9258,1.6978
666.0,10.0265,598.747,5.02,2534.743,11.9966,1.66688
668.0,10.0103,598.217,5.019,2737.185,11.8205,1.70672
670.0,10.1066,598.084,4.977,2599.6,11.9142,1.69293
672.0,10.0296,602.145,4.955,2727.977,11.9078,1.6563
674.0,9.9426,600.296,5.028,2627.265,11.9494,1.66798
676.0,10.035,600.911,5.014,2757.415,11.6128,1.66138
678.0,9.9902,601.141,5.085,2625.844,11.6023,1.66342
680.0,9.8576,597.695,4.935,2763.613,11.7962,1.65638
682.0,9.9676,602.617,4.967,2628.378,11.9352,1.69635
684.0,9.976,599.835,5.052,2737.489,12.1674,1.66495
686.0,9.9462,601.878,5.027,2795.191,11.859,1.69544
688.0,10.0374,598.497,5.086,2627.09,11.7538,1.67296
690.0,10.0094,603.35,5.032,2652.178,12.3345,1.69499
692.0,10.0184,598.743,5.022,2553.563,12.0723,1.68933
694.0,9.9411,599.481,4.904,2712.341,11.414,1.68905
696.0,10.107,601.383,4.947,2737.814,11.972,1.69841
698.0,10.0043,600.354,4.925,2666.277,11.9301,1.67432
700.0,10.0077,603.249,5.045,2744.873,11.8813,1.6807
702.0,9.9823,601.217,4.915,2793.891,11.8859,1.68205
704.0,10.0066,599.626,4.983,2607.563,11.6361,1.68172
706.0,9.9515,597.934,5.052,2685.733,12.1327,1.70602
708.0,9.9599,602.814,5.09,2557.799,12.1622,1.66737
710.0,10.0006,602.349,4.971,2696.939,11.5633,1.67593
712.0,9.9773,597.43,5.069,2783.281,11.6283,1.68392
714.0,10.0009,597.568,4.968,2609.34,12.3097,1.65509
716.0,10.0139,600.739,4.966,2732.983,11.5336,1.67239
718.0,9.9651,597.323,4.931,2526.708,11.7974,1.70069
720.0,9.9528,597.645,5.029,2792.354,11.9736,1.66681
722.0,10.0799,597.75,5.008,2675.083,11.9441,1.65957
724.0,9.9997,599.682,4.944,2719.078,12.6106,1.68182
726.0,9.9524,599.123,5.017,2750.619,12.2579,1.68119
728.0,9.9811,595.522,5.019,2717.08,11.7556,1.7049
730.0,10.0393,597.827,4.987,2677.994,11.4734,1.69843
732.0,10.0206,600.825,5.063,2875.964,12.0116,1.67517
734.0,10.0976,599.418,4.962,2728.319,12.0784,1.69358
736.0,9.9265,596.932,4.998,2743.156,11.9649,1.65785
738.0,10.084,598.979,5.024,2627.873,12.2283,1.66607
740.0,10.0908,598.82,4.963,2662.994,11.6787,1.66704
742.0,9.9743,602.044,5.002,2685.689,12.1317,1.69321
744.0,9.9691,602.08,5.065,2673.313,12.1668,1.65501
746.0,9.9656,596.86,5.02,2768.403,11.6933,1.6633
748.0,9.9812,598.966,4.956,2616.576,12.1146,1.68349
750.0,9.949,603.519,5.018,2913.981,11.6279,1.67108
752.0,9.9358,600.541,5.021,2755.361,11.6936,1.67131
754.0,10.0978,601.877,5.004,2624.775,12.1284,1.6594
756.0,9.9882,596.797,4.962,2538.905,11.7942,1.71042
758.0,9.9872,597.55,4.899,2647.826,12.2535,1.68628
760.0,10.1012,597.357,5.006,2873.265,12.0259,1.69569
762.0,9.9623,597.658,5.002,2706.069,11.8367,1.71906
764.0,10.1035,598.898,5.013,2651.646,11.6671,1.6453
766.0,10.0758,601.603,4.989,2699.353,12.1635,1.69293
768.0,10.0071,603.356,5.021,2816.413,11.7461,1.65763
770.0,9.9131,600.906,5.053,2758.694,12.1084,1.6787
772.0,9.9865,598.452,5.043,2552.938,12.2512,1.68364
774.0,9.9862,599.163,5.029,2592.477,12.0129,1.71702
776.0,9.9649,601.724,5.049,2712.196,11.8299,1.66851
778.0,10.0344,602.212,4.998,2684.161,11.8968,1.64896
780.0,10.0116,600.48,4.986,2732.566,12.2511,1.66786
782.0,10.0652,595.879,5.049,2616.848,11.5624,1.65489
784.0,9.9516,602.962,5.012,2618.033,12.2406,1.69626
786.0,10.0338,601.61,5.023,2541.99,11.97,1.68595
788.0,9.9895,597.333,5.028,2636.179,12.5826,1.6623
790.0,9.9774,601.161,4.941,2579.901,11.7471,1.67348
792.0,9.8682,596.324,5.045,2739.198,11.4689,1.66597
794.0,10.0241,600.15,5.025,2784.987,11.7707,1.66943
796.0,10.0739,596.763,4.958,2692.994,11.408,1.65107
798.0,9.9806,600.621,4.957,2631.933,11.519,1.6928
800.0,10.0124,600.963,5.013,2666.348,12.1671,1.66493
802.0,10.1025,600.559,4.93,2677.466,11.9076,1.6965
804.0,9.9328,601.709,5.047,2723.241,11.6196,1.6716
806.0,10.0309,602.028,5.03,2560.693,12.111,1.65934
808.0,10.0138,599.902,5.014,2619.683,11.7033,1.67711
810.0,10.0019,599.088,5.011,2833.039,11.8574,1.67881
812.0,9.9957,600.852,4.986,2881.248,12.1118,1.70136
814.0,10.0335,596.444,5.007,2754.107,11.8684,1.68271
816.0,10.0234,600.694,4.965,2780.759,12.2064,1.66737
818.0,9.977,601.528,4.936,2667.736,11.8209,1.6694
820.0,10.0372,595.65,4.985,2706.54,11.9887,1.66729
822.0,10.0939,598.656,4.977,2697.582,11.5578,1.69465
824.0,10.0439,594.577,4.981,2673.872,11.5091,1.67413
826.0,10.0459,604.561,5.042,2729.508,11.4408,1.68758
828.0,9.9716,598.659,5.036,2673.429,11.9326,1.68772
830.0,10.0159,595.444,4.976,2637.167,12.532,1.70269
832.0,10.0017,601.898,5.019,2708.462,12.2222,1.69389
834.0,9.964,602.991,5.014,2847.017,12.004,1.66946
836.0,10.0333,597.814,5.061,2612.453,11.7725,1.6644
838.0,10.0064,601.769,5.039,2660.898,11.9347,1.65989
840.0,10.0243,603.52,4.995,2718.41,11.9047,1.66756
842.0,9.9552,598.878,4.983,2625.875,12.4073,1.68726
844.0,9.9915,600.697,5.009,2716.442,12.0941,1.67586
846.0,9.9693,603.11,4.983,2747.388,12.0202,1.65753
848.0,10.0137,602.592,5.001,2732.62,12.1016,1.69252
850.0,10.0113,600.009,5.012,2795.033,12.1655,1.65695
852.0,9.9494,599.028,4.868,2769.135,11.7515,1.6629
854.0,10.0062,600.222,4.972,2672.317,11.9619,1.66654
856.0,9.9703,602.316,4.974,2629.386,11.6149,1.68366
858.0,10.0444,601.661,4.966,2716.457,11.7822,1.66475
860.0,9.9921,601.066,5.039,2696.24,11.9632,1.69131
862.0,9.9809,598.454,4.974,2543.496,11.9961,1.66239
864.0,10.0804,602.759,5.073,2678.03,11.8961,1.66172
866.0,9.959,604.325,5.032,2625.771,11.749,1.65552
868.0,10.0339,599.153,4.96,2723.375,12.2665,1.65309
870.0,10.0504,602.665,5.042,2637.188,11.965,1.71853
